phylip_id,full_species_id,,,,,
010000006  ,>01000000,31899,Bacillota,Caldicellulosiruptoraceae,Caldicellulosiruptor_bescii,Gram_positive
000000006  ,>00000000,1386,Bacillota,Bacillaceae,Spe_in_Bacillus,Gram_positive
000100006  ,>00010000,502487,Cyanobacteriota,Nostocaceae,Nostoc_spongiaeforme,Gram_negative
001110004  ,>00111000,1347902,Bacillota,Bacillaceae,Priestia_taiwanensis,Gram_positive
000100007  ,>00010000,270636,Cyanobacteriota,Spirulinaceae,Spirulina_major,Gram_negative
001100004  ,>00110000,1650662,Bacillota,Clostridiaceae,Desnuesiella_massiliensis,Gram_positive
011010001  ,>01101000,2803850,Bacillota,Staphylococcaceae,Spe_in_Mammaliicoccus,Gram_positive
000110005  ,>00011000,1610490,Bacillota,Bacillaceae,Fictibacillus_halophilus,Gram_positive
000110006  ,>00011000,1216297,Bacillota,Bacillaceae,Virgibacillus_natechei,Gram_positive
010010003  ,>01001000,29382,Bacillota,Staphylococcaceae,Staphylococcus_cohnii,Gram_positive
001000001  ,>00100000,1925020,Bacillota,Bacillaceae,Bacillus_swezeyi,Gram_positive
000010006  ,>00001000,29372,Bacillota,Clostridiaceae,Clostridium_thermobutyricum,Gram_positive
011010002  ,>01101000,1279,Bacillota,Staphylococcaceae,Spe_in_Staphylococcus,Gram_positive
001110005  ,>00111000,1806837,Bacillota,Veillonellaceae,Massilibacillus_massiliensis,Gram_positive
000111002  ,>00011100,86668,Bacillota,Bacillaceae,Neobacillus_niacini,Gram_positive
001000002  ,>00100000,1793963,Bacillota,Bacillaceae,Bacillus_nakamurai,Gram_positive
100010001  ,>10001000,1368476,Bacillota,Bacillaceae,Lysinibacillus_halotolerans,Gram_positive
001011101  ,>00101110,889453,Bacteroidota,Marinilabiliaceae,Alkalitalea_saponilacus,Gram_negative
001000003  ,>00100000,324767,Bacillota,Bacillaceae,Bacillus_infantis,Gram_positive
000100008  ,>00010000,205327,Bacillota,Clostridiaceae,Clostridium_frigoris,Gram_positive
001000004  ,>00100000,1637975,Bacillota,Bacillaceae,Cytobacillus_solani,Gram_positive
001011102  ,>00101110,320787,Bacteroidota,Cyclobacteriaceae,Cyclobacterium_amurskyense,Gram_negative
001000005  ,>00100000,1926285,Bacillota,Bacillaceae,Oceanobacillus_timonensis,Gram_positive
000110007  ,>00011000,2696063,Bacillota,Lachnospiraceae,Anaerocolumna_sedimenticola,Gram_positive
001011103  ,>00101110,649507,Bacteroidota,Cesiribacteraceae,Cesiribacter_andamanensis,Gram_negative
101000001  ,>10100000,372463,Bacillota,Bacillaceae,Oceanobacillus_profundus,Gram_positive
